 ```csv
文本,风险点,标签
"您好，这里是工商银行，我们检测到您的账户有异常登录，请立即提供密码以确保安全。",["提供密码"],1
"尊敬的客户，您的信用卡已透支，为避免影响信用记录，请点击链接进行还款。",["点击链接"],1
"您好，您的社保卡信息需要更新，请提供您的个人信息以便我们操作。",["提供个人信息"],1
"您好，您的航班因故取消，请点击链接进行退款操作。",["点击链接"],1
"您好，我是京东客服，您购买的商品缺货，请提供银行卡信息以便退款。",["提供银行卡信息"],1
"尊敬的客户，您的手机积分即将过期，请点击链接兑换礼品。",["点击链接"],1
"您好，这里是中国邮政，您的包裹需要补交税费，请提供银行卡信息进行支付。",["提供银行卡信息"],1
"您好，您的电子发票系统已升级，请登录网站更新信息。",["登录网站"],1
"您好，您的电费账户余额不足，请及时充值以免影响使用。",[],0
"尊敬的客户，您的手机流量已用完，请通过官方渠道充值。",[],0
"您好，您的驾驶证即将到期，请到官方网站进行更新。",[],0
"您好，您的医疗保险已到期，请通过正规渠道续保。",[],0
"您好，您的宽带服务即将到期，请及时续费。",[],0
"您好，您的图书馆借阅书籍已超期，请尽快归还。",[],0
"您好，您的房屋租赁合同即将到期，请注意续签。",[],0
"您好，您的车辆年检即将到期，请按时进行年检。",[],0
"您好，您的职业资格证书即将到期，请及时更新。",[],0
"您好，您的宠物疫苗接种提醒，请按时接种。",[],0
"您好，这里是支付宝客服，我们发现您的账户被误用，请立即提供密码进行安全验证。",["提供密码"],1
"尊敬的用户，您购买的商品已发货，但物流显示异常，需点击链接查看详情。",["点击链接"],1
"您好，您的信用卡因异常交易被冻结，请拨打我们提供的号码进行解冻。",["拨打我们提供的号码"],1
"您好，您的社交账号涉嫌违规，需验证身份，请提供账号密码。",["提供账号密码"],1
"尊敬的客户，您的航班因故取消，请点击链接申请退款。",["点击链接"],1
"您好，这里是电力公司，您本月电费尚未缴纳，请尽快转账至指定账户。",[],0
"尊敬的客户，您订阅的服务即将到期，如需续订请登录官网操作。",[],0
"您好，您的驾驶证已到期，请携带身份证至交管局办理换证。",[],0
"尊敬的业主，小区将进行绿化维护，请注意避让施工区域。",[],0
"您好，您的电子邮箱空间不足，请登录网页版进行清理。",[],0
```
